Time,Resource,Zone,vS_FLEX,vCHARGE_FLEX,vF_CAP
52,1,1,-45089.09880494373,3361.0831713899997,3361.0831713899997
53,1,1,-45641.69398386558,2101.2048210781513,3860.047220315
53,1,1,-45292.17155778743,3003.322426078151,3783.8892917199996
53,1,1,-43325.19716424743,4620.774393539999,4620.774393539999
53,1,1,-40700.378118169276,5278.619046078152,5821.520929679999
53,1,1,-36640.924935799274,6713.25318237,6713.25318237
53,1,1,-36725.607387424,2569.1175483752745,7082.698345565001
53,1,1,-39379.407387424006,0.0,8245.074879374999
53,1,1,-35641.44322634585,6391.764161078151,11030.716031984999
54,1,1,-31621.442295267705,6673.800931078145,14435.461896875
54,1,1,-27950.486869189557,6324.755426078152,15985.40295594
54,1,1,-27612.966008111405,2991.320861078152,10242.867324690002
54,1,1,-30266.766008111405,0.0,5428.355674320001
54,1,1,-31230.350956397466,1690.215051713939,4337.520465635
54,1,1,-33884.15095639747,0.0,2837.169871
54,1,1,-35401.74579921747,0.0,1517.5948428200002
54,1,1,-36358.28049924747,0.0,956.53470003
55,1,1,-36358.28049924747,600.67830825,600.67830825
55,1,1,-36358.28049924747,381.03967471,381.03967471
55,1,1,-36358.28049924747,191.60897936,191.60897936
55,1,1,-36358.28049924747,226.737558965,226.737558965
55,1,1,-36358.28049924747,169.31007233,169.31007233
55,1,1,-36358.28049924747,665.53476324,665.53476324
55,1,1,-36358.28049924747,1814.363532075,1814.363532075
55,1,1,-39012.08049924747,0.0,3333.7556089199998
56,1,1,-37793.695696777475,3872.18480247,3872.18480247
56,1,1,-40447.49569677748,0.0,3907.1393592
56,1,1,-38471.761270699324,4629.53442607815,4838.69480204
56,1,1,-35132.84912962117,5992.712141078152,6236.47302582
56,1,1,-30759.80217354302,7026.846956078153,7344.549481200001
56,1,1,-26515.625485598775,6897.976687944243,7937.468778140001
56,1,1,-29169.425485598775,0.0,8837.007046665
56,1,1,-24215.30277452062,7607.922711078155,12451.36323851
57,1,1,-19103.15946344247,7765.943311078151,16284.234915519999
57,1,1,-15026.151102364318,6730.808361078151,17499.93739956
57,1,1,-14298.579391286166,3381.3717110781517,11116.641235665
57,1,1,-16952.379391286166,0.0,5539.52816742
57,1,1,-19437.226470208014,168.95292107815249,4147.5847057050005
57,1,1,-21970.331701633015,0.0,2533.105231425
57,1,1,-23384.916115593016,0.0,1414.5844139600001
57,1,1,-24268.323282113015,0.0,883.4071665199999
58,1,1,-24268.323282113015,559.2369055199999,559.2369055199999
58,1,1,-24268.323282113015,378.4173328,378.4173328
58,1,1,-24268.323282113015,206.18587972,206.18587972
58,1,1,-24268.323282113015,229.13187104,229.13187104
58,1,1,-24268.323282113015,183.1138719,183.1138719
58,1,1,-24268.323282113015,697.25289818,697.25289818
58,1,1,-24268.323282113015,1851.81141348,1851.81141348
58,1,1,-23506.782036533015,3415.34124558,3415.34124558
